bank,ifsc,branch,centre,district,state,address,contact,city,micr
Abhyudaya Co-operative Bank,ABHY0065070,LOWER PAREL,MUMBAI,MUMBAI,MAHARASHTRA,"SHIVAJI NAGAR CO - OP. HSG, SOCIETY LTD, SHIVAJI NAGAR, N. M. JOSHI MARG, DELISLE ROAD, LOWER PAREL (EAST), MUMBAI - 400 013",+918104311084,MUMBAI,400065070
Abhyudaya Co-operative Bank,ABHY0065071,LALBAUG,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 6, 7, 8 & 9, GROUND FLOOR, TAMBAWALA BUILDING NO.1, 205, KALACHOWKY ROAD, D. L. MARG, LALBAUG, MUMBAI - 400 012",+912223742274,MUMBAI,400065071
Abhyudaya Co-operative Bank,ABHY0065072,"VIKHROLI ,EAST",MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 3, B WING, BUILDING NO. 87, KANNAMWAR NAGAR RAIGAD CO-OP. HSG. SOC. LTD., KANNAMWAR NAGAR, VIKHROLI (E), MUMBAI - 400 083",+912225791070,GREATER BOMBAY,400065072
Abhyudaya Co-operative Bank,ABHY0065073,VIKHROLI W,MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO.1, MAYFIAR SYMPHONY SPRING, PARKSITE, GODREJ, HIRANANDANI LINK RD., VIKHROLI WEST, MUMBAI 400079",+912225174388,GREATER BOMBAY,400065073
Abhyudaya Co-operative Bank,ABHY0065074,KAUSA MUMBRA,THANE,THANE,MAHARASHTRA,"VIRANI BUSINESS CENTRE, SHOP NO. 1,2,3,4, PLOT NO. 96 BY 2, OPP BHARAT GEARS CO., KAUSA, DIST-THANE- 400612",+912225495095,THANE,400065074
Abhyudaya Co-operative Bank,ABHY0065075,ULWE,PANVEL,PANVEL,MAHARASHTRA,"SHOP NO. 1,2,3 PRATHMESH PRIDE, PLOT NO. 06, SECTOR 19, ULWE, TAL  PANVEL, DIST RAIGAD  410206",+918928523897,RAIGAD,400065075
Abhyudaya Co-operative Bank,ABHY0065076,"KURLA ,W",MUMBAI,MUMBAI,MAHARASHTRA,"SHOP NO. 1 AND 2, SANGHAVI PALACE, BELGRAMI ROAD, KURLA W, MUMBAI - 400070",+912226503002,GREATER BOMBAY,400065076
Abhyudaya Co-operative Bank,ABHY0065077,PEN,PEN,PEN,MAHARASHTRA,"SHOP NO.4 AND 6, REDWOOD CITY PLAZA, PLOT NO. C 13, SURVEY NO 242B, ICE FACTORY, PEN 402107.",+912224140961,RAIGAD,402065051
Abhyudaya Co-operative Bank,ABHY0065099,SERVICE CENTER,MUMBAI,MUMBAI,MAHARASHTRA,"ABHYUDAYA BANK BLDG., B.NO.71, NEHRU NAGAR, KURLA (E), MUMBAI-400024",+912225260172,GREATER MUMBAI,
Abhyudaya Co-operative Bank,ABHY0065102,NANA PETH,PUNE,PUNE,MAHARASHTRA,"355, NANA PETH, PUNE-411002",+912026356923,PUNE,411065002
Abhyudaya Co-operative Bank,ABHY0065103,LAXMI ROAD,PUNE,PUNE,MAHARASHTRA,"867, BUDHWAR PETH, LAXMI ROAD, PUNE-411002",+912024470805,PUNE,411065003
Abhyudaya Co-operative Bank,ABHY0065104,YERWADA,PUNE,PUNE,MAHARASHTRA,"OM MAHAVIR CHS, SHOP NO. D1-2-3, SURVEY NO. 1-A, PUNE NAGAR RD., YERWADA, PUNE-411006",+912026613493,PUNE,411065004
Abhyudaya Co-operative Bank,ABHY0065105,PIMPRI,PUNE,PUNE,MAHARASHTRA,"SUNSHINE MARKS, CTS NO.4840, MUMBAI-PUNE RD, OPP B AMBEDKAR STATUE, PIMPRI, PUNE-411018",+912027426288,PUNE,411065006
Abhyudaya Co-operative Bank,ABHY0065106,PAUD PHATA,PUNE,PUNE,MAHARASHTRA,"MANGALAM CHAMBERS, ERANDWANA, PAUD ROAD, PUNE-411038",+912025446729,PUNE,411065007
Abhyudaya Co-operative Bank,ABHY0065107,BANER ROAD,PUNE,PUNE,MAHARASHTRA,"TEJAS ETERNITY, S. NO. 134, H. NO.5,6/1, BANER BALEWADI RD, BANER, PUNE 411045",+912027290321,PUNE,411065008
Abhyudaya Co-operative Bank,ABHY0065108,DHANKAWADI,PUNE,PUNE,MAHARASHTRA,"SHIVSMARAK SAMITI, PUNE-SATARA ROAD,DHANKWADI, PUNE-411037",+912024377083,PUNE,411065011
Abhyudaya Co-operative Bank,ABHY0065109,WAGHOLI,PUNE,PUNE,MAHARASHTRA,"620, PUNE NAGAR ROAD, WAGHOLI, TAL.HAVELI, PUNE-412207",+912027051700,PUNE,411065012
Abhyudaya Co-operative Bank,ABHY0065110,SINHAGAD ROAD,PUNE,PUNE,MAHARASHTRA,"SHOWROOM NO. 1 AND 3, SUNIT RIDDHI BLDG, PLOT NO. 2B, FINAL PLOT NO. 545, S. NO. 120A, 120B, PARVATI, SINHAGAD RD, PUNE 411030",+912024308301,PUNE,411065013
